user_id,monthly_income,monthly_expenses,monthly_savings,emergency_fund_savings,debt
63,160885,127089,33796,652761.2790248182,143946
64,156336,75168,81168,540340.1699456279,192339
65,294205,119034,175171,96628.50906812212,133272
66,283548,153671,129877,375404.5582638663,77505
67,42869,26759,16110,212885.4979360236,94179
68,130272,53286,76986,210540.96405811596,135059
69,98871,71663,27208,486863.1781299542,86416
70,110271,75442,34829,56536.09467589562,171890
71,216597,115359,101238,225171.2101645416,47333
72,174508,112273,62235,813843.4335482017,30746
73,89377,51395,37982,265240.698332487,170862
74,147455,122694,24761,225938.81041303507,45714
75,227907,93933,133974,485049.19337158394,187563
76,164123,104213,59910,233070.57519732483,43525
77,218274,168913,49361,1287889.7991708561,3420
78,136752,92496,44256,423478.1138274069,197307
79,225312,98613,126699,241165.6013037349,6102
80,221408,123647,97761,167658.1571959622,165656
81,203817,176928,26889,985177.278928877,182957
82,76631,38657,37974,207555.1594389386,18070
83,75777,39940,35837,94351.24881161931,176089
84,237392,195690,41702,213883.42679912495,105510
85,94748,51946,42802,174447.49095166623,182065
86,69592,49115,20477,32059.98536286244,110627
87,110316,54842,55474,31124.334160880262,70031
88,247501,209139,38362,565503.7528701868,144475
89,72097,32226,39871,149085.2465899416,118834
90,133848,63915,69933,502034.88301094074,22677
91,95609,79374,16235,158907.61191668955,70313
92,167813,92571,75242,397746.05894417275,113632
93,251207,197196,54011,340472.3467061399,114692
94,258214,114304,143910,47259.41965165227,187251
95,203165,136185,66980,694467.129084266,73523
96,276175,245222,30953,1012865.6320889257,83613
97,262866,209660,53206,454261.51839685184,28251
98,143481,63020,80461,12780.830800337058,8308
99,45949,37585,8364,209265.5242882531,74740
100,156352,76088,80264,95223.85362206076,177247
101,178877,79946,98931,116955.24003792634,187628
102,154548,111140,43408,459404.976403109,29375
103,180734,111664,69070,652152.8819564712,67215
104,109042,84935,24107,9780.087654146517,192461
105,49435,20911,28524,6813.439882335876,78781
106,231475,112882,118593,15497.435975773042,166319
107,161172,102623,58549,142195.9639662039,59101
108,273828,164092,109736,808448.5943166744,98116
109,137379,58063,79316,174009.0579444544,23289
110,150226,97882,52344,670679.5090815629,9540
111,56364,27137,29227,15320.192785643718,104182
112,202049,83497,118552,391284.02967672294,191962
113,237459,163309,74150,507133.1398308871,166267
114,131680,82843,48837,361604.2534184,103691
115,277378,224735,52643,1171291.4416276799,82986
116,260715,139998,120717,240336.3806474637,3373
117,183233,76862,106371,380161.84046383295,27350
118,133008,96811,36197,298485.05817837856,146377
119,115353,65787,49566,137202.48743244287,20358
120,43267,32296,10971,89999.03181936369,11338
121,171484,71953,99531,240579.7665602483,44425
122,78756,61060,17696,394122.63343727315,114352
123,123042,74601,48441,222023.36974581933,196582
124,205983,117493,88490,874859.763657117,61476
125,84811,52116,32695,313059.17255217343,112856
126,108450,48971,59479,353591.34714404045,14397
127,212627,172914,39713,442728.4537008576,66234
128,79954,47540,32414,4121.7756109870725,155538
129,208011,120116,87895,919416.7609427954,51934
130,235967,151316,84651,596821.3634511875,139407
131,126900,56578,70322,272679.2216450681,142202
132,127508,98970,28538,626740.6236603778,27192
133,41062,18297,22765,72371.26652114507,11174
134,128461,86680,41781,306174.9108723546,38102
135,114460,65866,48594,61685.8888321655,179208
136,194697,159355,35342,1105118.900278473,175333
137,41542,25467,16075,45346.82901025147,193928
138,133105,112599,20506,132060.45054160303,88092
139,297188,153531,143657,713987.216097961,173420
140,197504,165938,31566,314200.54135373427,171334
141,208152,144862,63290,405866.52522800653,19870
142,205650,162170,43480,724451.337437244,118874
143,65289,55703,9586,49552.26685519639,44482
144,126188,51191,74997,191929.65539457055,123961
145,70355,32321,38034,30388.526576662454,173416
146,82918,64097,18821,299137.50189146114,61629
147,106040,62291,43749,142378.3325326671,33591
148,253920,129955,123965,1001404.6809040372,36395
149,282348,249860,32488,86271.48479976758,128148
150,60559,40202,20357,319353.3658687049,21732
151,299747,202906,96841,1573418.4023386312,114065
152,111726,79850,31876,444444.2625233735,52638
153,223808,159749,64059,746749.0161232267,150159
154,212502,89829,122673,201909.13886304366,142047
155,51023,43121,7902,157186.99869498183,66203
156,159156,85735,73421,129028.54103133341,61529
157,142023,81901,60122,382416.1537335862,158427
158,274340,243393,30947,1920294.333848992,178677
159,161790,108083,53707,267637.38680860127,57043
160,296460,220081,76379,286311.18902370415,165421
161,162402,131751,30651,1001096.7070089943,49407
162,241412,170607,70805,570841.517539469,58141
163,194865,131688,63177,173653.55344487505,1015
164,295776,233308,62468,896593.4644806038,112816
165,168778,117649,51129,358491.4271342644,20309
166,46970,38565,8405,258641.17197748026,18017
167,115880,70386,45494,153952.24131931752,172015
168,218998,182285,36713,1185437.2835942095,98142
169,180932,162534,18398,722212.2947073396,23524
170,240244,209584,30660,1424579.9898218769,144528
171,284820,178089,106731,184014.96867931672,45106
172,93932,66042,27890,120800.22528847748,37744
173,216615,153593,63022,440090.29080654454,138311
174,164454,121003,43451,503670.3418596936,174197
175,89922,59355,30567,404649.8636112556,115765
176,113963,77548,36415,543861.8686315947,173880
177,259536,121205,138331,27908.834260466003,44238
178,41252,29295,11957,165008.13445173405,53682
179,99494,46581,52913,5420.040571804865,6949
180,278897,193821,85076,608201.0645222018,154458
181,296434,252585,43849,703712.8571046425,53413
182,227872,180435,47437,572401.575425107,70390
183,223401,185686,37715,1410501.4921959434,170883
184,285897,246813,39084,971685.5891507205,19963
185,95123,59886,35237,469521.84642836865,14388
186,45569,25718,19851,130318.42537054043,143087
187,85002,37225,47777,38380.38118499134,137162
188,182709,136818,45891,197091.55254629062,125827
189,148215,89793,58422,628060.8055415414,164506
190,109724,97276,12448,468430.94029313955,142386
191,195026,158145,36881,436584.7374157708,103081
192,76668,31886,44782,139970.69079509945,104680
193,187979,94584,93395,275632.80429896933,91865
194,152428,85480,66948,63111.994486665724,22574
195,176312,131157,45155,536859.1914065451,150334
196,158831,68382,90449,151467.5786848167,190471
197,167600,117091,50509,923854.5432243301,131374
198,253630,218634,34996,412984.81681272463,28699
199,113686,75673,38013,436188.8953094106,105113
200,44621,21144,23477,22516.994704429122,136194
201,58030,47713,10317,286131.51422260585,67067
202,277548,231366,46182,655499.9890777781,34674
203,206926,93620,113306,552287.0031560267,141339
204,261897,178609,83288,1201266.9589413712,137301
205,227865,152138,75727,283848.62736290926,134668
206,149779,95406,54373,271032.6492693228,82152
207,165036,105588,59448,493475.6415359976,26069
208,250977,170381,80596,799475.9511434784,23275
209,112274,66172,46102,178636.25512778052,185625
210,88447,60620,27827,172692.6681914195,17260
211,152581,107247,45334,203534.8938664816,158357
212,263508,125543,137965,247026.16875661045,158211
213,248221,122443,125778,279263.2619230458,144990
214,256727,217802,38925,139800.56218077597,155890
215,271966,164593,107373,1293541.149542706,169182
216,56389,33772,22617,261927.64378060607,122883
217,258958,209376,49582,431989.2985228906,13234
218,274936,208739,66197,893464.2592825807,46514
219,128236,100632,27604,150580.69203872554,42101
220,104323,63920,40403,259571.64324408292,168048
221,275659,126091,149568,615949.5341720631,42533
222,41828,27315,14513,203663.77406998526,105292
223,287786,200570,87216,592452.461411519,190455
224,105545,71169,34376,312529.827093749,39809
225,156748,116351,40397,81788.3408895549,132414
226,234148,93976,140172,87733.03459022914,93070
227,119767,84202,35565,535046.0821286086,42078
228,146288,120740,25548,720551.7137180178,42929
229,167309,144968,22341,1149224.5147446,196513
230,124555,73439,51116,544300.1537520384,167231
231,83925,35588,48337,222500.29901255484,172904
232,98596,49378,49218,64648.02517458206,86740
233,55524,44823,10701,238529.08018612623,125501
234,60611,33826,26785,159200.4929235487,43303
235,230279,142673,87606,430238.3406347187,143026
236,113340,62415,50925,373296.3157096057,149646
237,180256,93031,87225,669506.577010451,176630
238,289793,194676,95117,1411746.9173930732,135090
239,51302,23519,27783,176831.29372212256,96646
240,123122,69865,53257,77841.9468530204,80910
241,160430,113911,46519,486136.69158491807,140518
242,171994,136614,35380,165767.29615848055,66656
243,84028,44051,39977,262172.62507295195,103677
244,107779,73822,33957,450289.8007899941,174944
245,86197,69873,16324,61841.37085016956,71907
246,168876,78315,90561,248908.4332818813,20103
247,104772,67387,37385,220466.10014608107,134828
248,60609,24613,35996,117835.76163811403,75683
249,270169,142081,128088,392934.65962424304,77834
250,166205,141976,24229,662621.0676297178,144071
251,95318,60145,35173,455794.85168762103,133515
252,247065,171244,75821,693043.207415132,17368
253,186400,76247,110153,531974.6534821177,170987
254,77219,66360,10859,419440.13215643517,53028
255,144263,104689,39574,645928.3398453029,196382
256,149945,65145,84800,40296.646490136365,175399
257,239976,207047,32929,746759.5146488907,76589
258,62116,55433,6683,372021.10100765974,124085
259,157718,135703,22015,944380.368167336,168502
260,210354,146330,64024,467088.5252585293,56264
261,246132,139704,106428,897294.7054634928,97945
262,53224,24330,28894,80679.1722693941,139649
263,48070,27567,20503,162645.57525313148,36368
264,177855,91115,86740,329792.2120994429,67526
265,241907,147433,94474,1079027.8058573855,121008
266,208220,143733,64487,727017.9431643029,141467
267,187313,137069,50244,195225.69554295967,46163
268,59816,28372,31444,94109.72510706494,96731
269,192638,173073,19565,695331.1761844732,1759
270,297164,177899,119265,607402.555764019,164791
271,229138,131684,97454,493269.1207717968,159024
272,257516,151641,105875,1014860.1988197012,149521
273,204608,161182,43426,584496.0076988527,159937
274,177717,110252,67465,353479.4319010115,38565
275,196594,93897,102697,136660.04535291577,129948
276,52342,45697,6645,136472.92660828697,131026
277,115629,76695,38934,491308.0297930244,105947
278,66399,50329,16070,265303.86457916803,110904
279,247606,130474,117132,204701.28455522849,63230
280,285756,199321,86435,540991.0720261974,199908
281,112258,94715,17543,421839.0792220521,64929
282,113506,59203,54303,342082.9533332047,191607
283,153453,125081,28372,397440.90454564756,127157
284,161300,97295,64005,252180.90396308855,47057
285,46150,33072,13078,194702.6989409455,191572
286,224466,103566,120900,726158.4572968055,181532
287,202491,152267,50224,1109263.8811765716,23236
288,127955,72669,55286,479677.7973372261,94914
289,142870,59593,83277,396009.5520779434,164644
290,249829,196594,53235,570528.204351655,193588
291,178155,90815,87340,708028.079112283,148843
292,201047,91902,109145,415968.0234253347,67642
293,130093,82678,47415,120450.03218792687,159601
294,75954,49843,26111,295743.21888951503,99608
295,100774,51295,49479,264704.42828582204,51693
296,156739,73062,83677,526380.9077834624,126678
297,114532,46865,67667,342788.90855566226,61268
298,263273,181199,82074,397268.2554664083,171024
299,193252,140244,53008,930930.4761529022,1622
300,88756,35990,52766,39412.11060941099,81182
301,253637,194309,59328,389753.791384508,177900
302,291896,188896,103000,866344.1188846085,142736
303,75737,45608,30129,281277.80868117796,167469
304,168575,97256,71319,745857.9580541967,192192
305,190322,84725,105597,522574.2603279473,53276
306,97492,79801,17691,279107.7617816351,155834
307,51046,35997,15049,273377.5741895071,184374
308,194222,170341,23881,183970.02077764648,152864
309,99129,41197,57932,86435.93466415915,198370
310,203059,86444,116615,343263.0709845094,176492
311,78890,44740,34150,275924.89596470457,132596
312,140424,61445,78979,357948.46499944327,34008
313,171132,127356,43776,443022.9642817496,13350
314,64354,52097,12257,333177.3523731753,20581
315,128929,58217,70712,146518.9419821878,69626
316,46960,21996,24964,167211.36667713895,94006
317,299568,147557,152011,639690.2247384671,90327
318,171410,131319,40091,847334.4270081418,132822
319,225828,168498,57330,1144702.1511796254,146968
320,226833,146242,80591,258800.88952465815,90600
321,162732,119601,43131,42257.84412452553,29711
322,110342,99272,11070,441408.2476194536,19541
323,134457,74815,59642,72135.1738552747,24070
324,240840,119528,121312,110235.43548516325,41786
325,266006,212185,53821,1264732.1691431117,51571
326,65510,41112,24398,171826.6423315032,66150
327,127312,92311,35001,269324.5423572269,35435
328,136443,87395,49048,618755.4509468172,134055
329,268313,204557,63756,106952.77603847404,187918
330,134071,89793,44278,568011.2411230804,115608
331,47564,33910,13654,240348.04354151286,79273
332,114859,59322,55537,11580.025307975588,183465
333,237153,97383,139770,681448.5839280431,27788
334,266577,231797,34780,1481244.4616210265,39974
335,147309,84755,62554,520184.3474268613,61916
336,298365,190935,107430,958502.044956796,85431
337,123691,110337,13354,678151.8693245548,181144
338,64574,39433,25141,232680.66318843808,32733
339,256752,116883,139869,331594.41321221506,32413
340,205873,112850,93023,210901.0776478587,171672
341,228847,93583,135264,739472.1951893363,166472
342,175566,103963,71603,565265.363604957,43001
343,107364,85158,22206,60912.49707925916,168645
344,171878,144301,27577,1090606.2043893824,160829
345,74636,66768,7868,397057.450231692,193283
346,225914,135726,90188,909717.8859764301,169269
347,81844,66729,15115,64240.68201466595,40042
348,101665,60190,41475,17687.162509662994,186626
349,185271,106542,78729,49301.395571339,66262
350,288496,190156,98340,908601.9881365114,30448
351,66172,35078,31094,144590.93351289563,156497
352,197757,177618,20139,1275206.5099493652,7906
353,101413,72152,29261,431683.4558276998,60504
354,230792,195587,35205,1345836.9891418596,148746
355,123560,73590,49970,160696.64316540974,65160
356,57602,50564,7038,348740.96671528195,29192
357,86542,62969,23573,277495.50215909514,50106
358,121121,73184,47937,218198.6914322335,152826
359,175044,74287,100757,316523.5468697953,106532
360,166267,75607,90660,541031.5531256214,86988
361,85648,36893,48755,260584.48789830686,115005
362,42396,36174,6222,165335.1312399894,11303
363,201633,135475,66158,936937.3836771043,99616
364,164165,108452,55713,753230.204167987,198747
365,284064,135973,148091,174480.66817636715,105228
366,204202,106051,98151,789096.0940952663,86206
367,109274,84835,24439,107642.11286030326,48874
368,89708,74988,14720,17545.56208156417,47638
369,118249,54918,63331,147232.45790562843,167581
370,82534,39647,42887,259439.50884198767,179917
371,229004,149707,79297,7648.077576896038,191533
372,115418,102790,12628,519552.8995363467,163038
373,243617,174674,68943,754571.2497318987,132079
374,242053,131113,110940,19328.907895391258,173279
375,184353,105253,79100,532682.8169442195,91357
376,197732,89227,108505,669008.6898451746,83807
377,216611,93991,122620,226302.93296718565,181264
378,251467,109055,142412,507908.7962761879,20953
379,247991,104868,143123,731170.5743006992,168639
380,155374,137418,17956,824125.2433155938,87266
381,192499,149982,42517,29500.759234591747,123786
382,215136,120864,94272,472474.96452055615,93106
383,67082,49751,17331,177472.84435959684,26029
384,184097,165422,18675,563998.1070278329,137612
385,137768,66378,71390,422062.94581538247,75932
386,188554,96235,92319,63423.51939872497,78797
387,92307,67130,25177,146751.29637911834,175485
388,284459,118235,166224,691693.7309490697,170286
389,252943,209608,43335,1617369.657212911,99986
390,234488,145652,88836,363491.4505567739,12857
391,281531,214586,66945,1280369.4485094121,179362
392,66431,55407,11024,316894.37036388746,26385
393,209230,133021,76209,578090.9684718882,21563
394,210413,105595,104818,77012.11491553448,139783
395,245390,153821,91569,652637.1455813927,170182
396,232860,108424,124436,28212.94788127598,44859
397,224697,159158,65539,1014202.2572574902,68760
398,87837,40286,47551,40345.87859737557,79083
399,222099,136624,85475,219171.92208565443,74744
400,292859,126545,166314,589164.5684420607,49268
401,271809,217115,54694,539073.8936935337,85708
402,231184,93816,137368,54373.41780267469,161087
403,200081,128045,72036,614637.0486714899,157215
404,46154,34499,11655,237386.90064504294,20581
405,223720,93919,129801,361029.85583606426,46167
406,246376,128367,118009,1013239.3368793903,169631
407,285198,185220,99978,915958.4408832161,48787
408,75488,51318,24170,4011.362782861336,194555
409,162720,107209,55511,75360.63605454752,176076
410,254941,106208,148733,66765.32020672354,50069
411,92326,43056,49270,195488.3101019972,50861
412,115897,92751,23146,148513.08243160305,9078
413,196075,88681,107394,451514.167678234,180858
414,172997,120646,52351,595127.0110670404,125150
415,197087,108283,88804,810131.6653285711,102215
416,197361,140649,56712,881500.9838476973,61550
417,64826,41631,23195,220084.81875932883,98511
418,237507,165955,71552,1040647.4512210179,33662
419,138818,58355,80463,76561.5177051369,36877
420,151562,115552,36010,548436.2749563021,110091
421,296908,189914,106994,935504.2428411128,162962
422,191094,121362,69732,722617.56766988,28380
423,150198,92646,57552,32360.623519649478,20049
424,246789,187461,59328,342610.83411765273,2920
425,262266,190185,72081,303599.84823967575,176572
426,275612,167902,107710,273449.6034081858,161099
427,297840,248439,49401,1445257.2521893743,132028
428,271447,166328,105119,460309.40352280997,25963
429,141757,126705,15052,40656.28078334874,116400
430,120818,83284,37534,292237.1725742868,162932
431,71585,46053,25532,321790.0830669977,26017
432,247779,151358,96421,335200.8138712235,17778
433,216313,185203,31110,312122.15512333176,179436
434,269905,193192,76713,1133052.5682116237,158562
435,298841,226495,72346,1647130.5661453148,142633
436,278507,163323,115184,669774.8252786217,26916
437,104324,45335,58989,158551.14321608664,181749
438,136059,81976,54083,388840.62995688117,35046
439,218136,159525,58611,121572.73645169407,101520
440,165818,92207,73611,294358.6364437168,64674
441,295204,119414,175790,562117.6495818804,86475
442,101367,60650,40717,115005.91626896472,118154
443,223305,97528,125777,132449.1917390214,120585
444,116619,94979,21640,327402.12887899735,79530
445,194571,146587,47984,195889.3772278123,71635
446,147803,61831,85972,364259.78394818894,15563
447,132324,104654,27670,590571.3917297485,79671
448,156891,130550,26341,582921.6766758304,181180
449,74707,39958,34749,18248.612764934744,178686
450,262500,227929,34571,71740.27104826189,170102
451,172130,107770,64360,805149.6851118585,160928
452,180272,124808,55464,687150.7785846243,172307
453,288500,184625,103875,1013174.3460468675,196733
454,166945,93750,73195,729823.3110527599,146470
455,160030,84353,75677,352075.9569912359,9110
456,276971,184496,92475,185590.44769823586,104061
457,72556,34229,38327,257352.73326291092,135542
458,161863,143241,18622,107603.45944313663,154268
459,145823,75431,70392,581329.7195718042,48320
460,218486,194303,24183,581815.8779645051,186481
461,68625,48649,19976,338170.8687192413,110448
462,265867,121382,144485,772485.1194980225,161731
463,141376,71796,69580,378442.72976659087,19508
464,213359,154816,58543,132018.45264129512,36059
465,240641,216506,24135,83505.56548434835,5704
466,231648,139788,91860,973767.0665259582,158280
467,158516,108346,50170,640064.1442043538,156995
468,297633,179195,118438,468821.6590905965,4114
469,236037,200793,35244,1410195.1959790823,156498
470,57772,46732,11040,44940.87660463419,115142
471,131736,74324,57412,374717.0800865225,126969
472,274182,186915,87267,568849.1921333871,162396
473,143896,100474,43422,438618.7554775536,96546
474,193515,78825,114690,370201.1128763458,191305
475,65537,41402,24135,125791.12696784378,6471
476,206703,170237,36466,1245095.0541282431,195804
477,41177,18713,22464,22304.676806162028,53551
478,182628,95520,87108,364271.61420745216,73770
479,262127,176858,85269,1056727.5632347947,158059
480,118714,78424,40290,515963.0518184717,64106
481,278582,236337,42245,134769.32147221817,39310
482,96088,69889,26199,212504.2188408987,45379
483,249684,159695,89989,248559.93136861312,46413
484,177084,125495,51589,525156.1400911285,167450
485,213724,171302,42422,738875.2401361956,121999
486,154793,109154,45639,625365.6855532677,176048
487,214668,130255,84413,127010.18470083283,114014
488,215211,105608,109603,443691.63697848713,3654
489,260094,117936,142158,535252.271473235,137513
490,159735,140800,18935,544665.8164653232,100102
491,99189,66963,32226,23256.267500458045,144745
492,247738,99415,148323,507402.3938715255,165140
493,259861,181063,78798,1149741.1422515793,81929
494,167959,101701,66258,683317.8749027866,119503
495,286832,148703,138129,928531.8855464639,110641
496,145111,117729,27382,399090.2469105216,36041
497,128920,57726,71194,288103.22701023886,199648
498,279030,193452,85578,260021.47613327455,17633
499,265952,135201,130751,103525.62896705109,77231
500,108388,78146,30242,379535.7643535509,23711
501,131658,67932,63726,212440.20891082738,188856
502,47421,22329,25092,49041.6746525504,4358
503,105108,77561,27547,274700.56528309523,31910
504,166888,124534,42354,987560.5913576665,160443
505,222573,100615,121958,583034.8006832664,76329
506,71007,38136,32871,24229.896446111947,111335
507,152356,129060,23296,198099.17542560768,31367
508,94624,48573,46051,137945.88450539752,115395
509,156492,103211,53281,55826.88240732874,10756
510,239083,123571,115512,533838.4983967518,56549
511,205575,149132,56443,635848.4849917899,45113
512,276802,137061,139741,57388.949233396925,150273
513,165541,112384,53157,656907.4155418194,53363
514,137543,94937,42606,67418.48075527372,42828
515,88604,66010,22594,106109.06230707455,207
516,272041,121966,150075,439439.5328933265,68619
517,200400,110305,90095,865882.2261763875,141826
518,271055,160264,110791,153634.2014348486,186994
519,88231,36175,52056,213339.95711709617,193783
520,212395,110833,101562,595446.6958477101,144467
521,257029,135845,121184,856260.3647965019,4895
522,159968,112656,47312,456787.1230013463,9715
523,59169,25534,33635,24032.40234435077,5782
524,259249,147988,111261,450960.3108905598,35585
525,70682,36721,33961,149740.67251975287,127810
526,78067,42144,35923,317727.6682643561,196049
527,273782,131656,142126,828143.5789024963,10382
528,175509,119923,55586,375160.1701938036,98864
529,183401,122854,60547,617169.4062666352,191703
530,85033,70919,14114,457243.3876075326,31750
531,266227,215475,50752,555973.7282116505,24226
532,46721,22281,24440,39858.82572009849,104211
533,226321,163061,63260,1072916.0254942602,74520
534,234812,195130,39682,1440460.884679029,5901
535,202624,142470,60154,871699.6186771981,145788
536,154099,100362,53737,320084.9503462791,50200
537,242380,141493,100887,77167.23657505313,17347
538,187992,97055,90937,62088.3307963364,7967
539,150719,92880,57839,231691.85952767127,164685
540,68179,42254,25925,35718.04455036582,78213
541,157407,79965,77442,396362.8065072395,39922
542,250436,197939,52497,728099.4886438038,186749
543,273226,212331,60895,1052308.616432996,156104
544,208918,108551,100367,123530.48976291066,181403
545,265469,141413,124056,201107.82564166852,123279
546,194363,137808,56555,698068.7678533077,54823
547,63312,32689,30623,57742.53732050206,199900
548,278387,202627,75760,1374647.3182434437,57009
549,186494,148457,38037,480761.28309361206,99071
550,222268,128274,93994,539268.6390272427,27605
551,139853,68310,71543,211530.80094821553,69252
552,233021,122170,110851,130774.4196901211,6548
553,156981,124826,32155,581337.8794441186,24022
554,146297,72394,73903,358465.08387680794,60428
555,193812,158373,35439,797311.5184347066,16052
556,140689,60821,79868,20743.955376372945,41424
557,280610,149544,131066,772951.2113846184,22420
558,288115,153568,134547,183345.17667402118,10749
559,144131,119964,24167,233668.72801377194,164433
560,61223,49305,11918,242218.2323837073,30620
561,190949,113843,77106,870873.6228003858,117360
562,93352,42108,51244,221889.67114002426,90536
563,144576,116302,28274,71099.46869091406,42080
564,260169,225087,35082,455681.30771064153,182503
565,261972,212869,49103,843731.1504930859,159674
566,259861,186667,73194,916809.1237312516,7099
567,289686,190962,98724,229412.58187219128,30111
568,276459,181387,95072,987075.8094981246,60920
569,265366,201190,64176,116021.18047658475,123287
570,129570,52612,76958,402587.61253865797,88340
571,134439,77520,56919,183899.50609135226,140938
572,241139,189855,51284,1004516.1389181882,64027
573,228978,111524,117454,87787.81150909538,104797
574,164917,128995,35922,273517.31217427115,42533
575,199342,87926,111416,680800.4913902732,148702
576,101063,79295,21768,396261.5815383908,183233
577,267790,134656,133134,130763.27618938425,97661
578,178051,140182,37869,722110.2885592222,123257
579,232630,97931,134699,758760.5958287648,34964
580,256739,140285,116454,1099801.101232851,59765
581,270156,186734,83422,1117525.576700754,9503
582,231775,168787,62988,172967.17393529444,45838
583,165200,142739,22461,256491.26255183664,153240
584,110119,67837,42282,238463.33028722042,105432
585,248497,216574,31923,417022.26697930344,177876
586,116971,58337,58634,413924.30322806526,192404
587,117794,86664,31130,219726.15661297846,76272
588,77643,66731,10912,134658.36413750873,159116
589,276541,174295,102246,1174049.1022077862,154983
590,95533,75301,20232,395277.14031377895,189013
591,98005,87453,10552,655819.1886349804,93980
592,219980,106119,113861,111831.40568179725,119246
593,95731,77436,18295,132267.72929306552,177558
594,60567,34595,25972,114417.13650695655,27044
595,107260,82773,24487,405217.2115862952,149109
596,123986,58990,64996,44245.765991051085,104555
597,49496,38634,10862,49473.66035867979,41321
598,293113,118612,174501,234072.58782911,91396
599,220738,197760,22978,156907.68779494255,21727
600,279423,223548,55875,364894.0644001686,134153
601,205268,157345,47923,775377.845369503,156570
602,116865,67512,49353,423322.8076334251,117235
603,255971,103057,152914,627403.3980497222,141877
604,206923,159923,47000,259050.3889864421,19873
605,80372,46934,33438,122753.66784969124,100082
606,260894,144222,116672,1011458.609379094,82617
607,140483,83262,57221,428542.9728785199,18313
608,153175,77905,75270,85896.74367200187,73445
609,143892,57692,86200,82325.36907086778,80073
610,132197,63909,68288,92703.47088607292,168876
611,186451,112087,74364,783947.6603463178,167132
612,265805,202464,63341,168672.52827178463,154297
613,135286,101663,33623,42945.672264895766,109079
614,105697,73954,31743,356248.63168205746,191675
615,199803,112100,87703,570804.8158608814,55506
616,118229,88400,29829,527518.3076730306,152889
617,208933,105494,103439,696370.6772381533,141330
618,97775,57367,40408,56163.099499787866,137328
619,295158,152870,142288,454234.25141066004,181360
620,124730,99869,24861,612467.4344041924,147256
621,73787,40562,33225,56293.59017900606,176325
622,74051,47991,26060,68436.11311376523,161326
623,124045,95962,28083,568084.5891129974,3471
624,278404,137041,141363,397128.85727577,165937
625,86850,35877,50973,6943.423305041217,137469
626,268981,144317,124664,598140.586458297,83820
627,255602,222460,33142,461465.2558182402,130349
628,110553,92462,18091,622774.8916216337,22436
629,82963,66480,16483,243682.11384268082,108899
630,285317,204168,81149,81409.17702710089,187686
631,45105,38551,6554,240623.950466351,43619
632,82821,35500,47321,63963.53144425109,7531
